dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.168464,3.272473,7.965000,3.000000,0.000000,0.000000,0.281756
0.010000,6.197249,3.280922,7.995000,3.000000,0.000000,0.000000,0.289297
0.010000,6.225969,3.289591,8.025000,3.000000,0.000000,0.000000,0.297015
0.010000,6.254621,3.298484,8.055000,3.000000,0.000000,0.000000,0.304911
0.010000,6.283200,3.307605,8.085000,3.000000,0.000000,0.000000,0.312989
0.010000,6.311705,3.316959,8.115000,3.000000,0.000000,0.000000,0.321251
0.010000,6.340130,3.326552,8.145000,3.000000,0.000000,0.000000,0.329699
0.010000,6.368472,3.336386,8.175000,3.000000,0.000000,0.000000,0.338336
0.010000,6.396727,3.346468,8.205000,3.000000,0.000000,0.000000,0.347164
0.010000,6.424891,3.356802,8.235000,3.000000,0.000000,0.000000,0.356186
0.010000,6.452959,3.367392,8.265000,3.000000,0.000000,0.000000,0.365403
0.010000,6.480928,3.378243,8.295000,3.000000,0.000000,0.000000,0.374817
0.010000,6.508792,3.389360,8.325000,3.000000,0.000000,0.000000,0.384431
0.010000,6.536547,3.400746,8.355000,3.000000,0.000000,0.000000,0.394246
0.010000,6.564188,3.412408,8.385000,3.000000,0.000000,0.000000,0.404262
0.010000,6.591709,3.424348,8.415000,3.000000,0.000000,0.000000,0.414482
0.010000,6.619105,3.436572,8.445000,3.000000,0.000000,0.000000,0.424906
0.010000,6.646372,3.449084,8.475000,3.000000,0.000000,0.000000,0.435534
0.010000,6.673502,3.461887,8.505000,3.000000,0.000000,0.000000,0.446367
0.010000,6.700491,3.474987,8.535000,3.000000,0.000000,0.000000,0.457405
0.010000,6.727332,3.488386,8.565000,3.000000,0.000000,0.000000,0.468648
0.010000,6.754020,3.502089,8.595000,3.000000,0.000000,0.000000,0.480094
0.010000,6.780547,3.516099,8.625000,3.000000,0.000000,0.000000,0.491742
0.010000,6.806908,3.530420,8.655000,3.000000,0.000000,0.000000,0.503591
0.010000,6.833096,3.545054,8.685000,3.000000,0.000000,0.000000,0.515639
0.010000,6.859105,3.560006,8.715000,3.000000,0.000000,0.000000,0.527883
